state_code,region
AL,Southeast
AK,West
AZ,West
AR,Southeast
CA,West
CO,West
CT,Northeast
DE,Southeast
DC,Southeast
FL,Southeast
GA,Southeast
HI,West
ID,West
IL,Midwest
IN,Midwest
IA,Midwest
KS,Midwest
KY,Southeast
LA,Southeast
ME,Northeast
MD,Southeast
MA,Northeast
MI,Midwest
MN,Midwest
MS,Southeast
MO,Midwest
MT,West
NE,Midwest
NV,West
NH,Northeast
NJ,Northeast
NM,West
NY,Northeast
NC,Southeast
ND,Midwest
OH,Midwest
OK,Southeast
OR,West
PA,Northeast
RI,Northeast
SC,Southeast
SD,Midwest
TN,Southeast
TX,Southeast
UT,West
VT,Northeast
VA,Southeast
WA,West
WV,Southeast
WI,Midwest
WY,West
